Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Real Madrid,86,38,26,8,4,80,31,49
2,Barcelona,73,38,21,10,7,68,38,30
3,Ath Madrid,71,38,21,8,9,65,43,22
4,Sevilla,70,38,18,16,4,53,30,23
5,Betis,65,38,19,8,11,62,40,22
6,Sociedad,62,38,17,11,10,40,37,3
7,Villarreal,59,38,16,11,11,63,37,26
8,Ath Bilbao,55,38,14,13,11,43,36,7
9,Valencia,48,38,11,15,12,48,53,-5
10,Osasuna,47,38,12,11,15,37,51,-14
11,Celta,46,38,12,10,16,43,43,0
12,Vallecano,42,38,11,9,18,39,50,-11
13,Elche,42,38,11,9,18,40,52,-12
14,Espanol,42,38,10,12,16,40,53,-13
15,Getafe,39,38,8,15,15,33,41,-8
16,Cadiz,39,38,8,15,15,35,51,-16
17,Mallorca,39,38,10,9,19,36,63,-27
18,Granada,38,38,8,14,16,44,61,-17
19,Levante,35,38,8,11,19,51,76,-25
20,Alaves,31,38,8,7,23,31,65,-34
