Pos,Squadra,Punti,Giocate,Vinte,Nulle,Perse,GF,GS,DR
1,Lorient,71,34,22,5,7,68,31,37
2,Paris FC,69,34,21,6,7,55,33,22
3,Metz,65,34,18,11,5,64,34,30
4,Dunkerque,56,34,17,5,12,47,40,7
5,Guingamp,55,34,17,4,13,57,45,12
6,Annecy,51,34,14,9,11,42,43,-1
7,Laval,50,34,14,8,12,44,38,6
8,Bastia,48,34,11,15,8,43,37,6
9,Grenoble,46,34,13,7,14,43,44,-1
10,Troyes,44,34,13,5,16,36,34,2
11,Amiens,43,34,13,4,17,38,50,-12
12,Ajaccio,42,34,12,6,16,30,42,-12
13,Pau FC,42,34,10,12,12,39,53,-14
14,Rodez,39,34,9,12,13,56,54,2
15,Red Star,38,34,9,11,14,37,51,-14
16,Clermont,33,34,7,12,15,30,46,-16
17,Martigues,32,34,9,5,20,29,56,-27
18,Caen,22,34,5,7,22,31,58,-27
